Class,Series,Variety,Form,ProductDescription,SKU,QuantityPurchased,CustomerID,CustomerName,TerritoryID,TerritoryName,SalesRepID,SalesRepNam,TerritoryManagerID,Territory Manager,InfoCost,ListPrice,SellPrice,ListMarginPercent,SellMarginPercent,SellMarginDollars
Geranium,Giant,Pink,Unrooted,Geranium Giant Pink Unrooted#,60468,3351,670,Yute Greenhouse,400,Northwest,7862,Gregoria Paull,104,Cathie Wentz,5,30,15,0.833333333,0.666666667,335.1
Petunia Vegetative,Pretty,Yellow,Unrooted,Petunia Vegetative Pretty Yellow Unrooted#,94050,188609,615,Kissinger Greenhouse,100,Northeast,1581,Luz German,101,Tim Morris,4,20,7,0.8,0.428571429,5658.27
Petunia Vegetative,Pretty,Blue,Unrooted,Petunia Vegetative Pretty Blue Unrooted#,71461,124298,321,Open View Nursery,100,Northeast,5989,Marquis Ables,101,Tim Morris,4,20,7,0.8,0.428571429,3728.94
Combo,Basket,Red Yellow Mix,Unrooted,Combo Basket Red Yellow Mix Unrooted#,75237,185093,350,Celtic Greenhouse,100,Northeast,4887,Anastacia Renaud,101,Tim Morris,15,40,38,0.625,0.605263158,42571.39
Geranium,Giant,Pink,Unrooted,Geranium Giant Pink Unrooted#,60468,111560,290,Sampson Nursery,300,Great Lakes,1203,Ying Mercier,103,Sandra Carlton,5,30,12,0.833333333,0.583333333,7809.2
Petunia Vegetative,Super,Pink,Unrooted,Petunia Vegetative Super Pink Unrooted#,52492,1038,529,Numero Greenhouse,400,Northwest,9565,Iola Guss,104,Cathie Wentz,4,25,16,0.84,0.75,124.56
Petunia Vegetative,Pretty,Blue,Unrooted,Petunia Vegetative Pretty Blue Unrooted#,71461,151000,762,Bridgeway Greenhouse,300,Great Lakes,4926,Wilfred Mcelvain,103,Sandra Carlton,4,20,13,0.8,0.692307692,13590
Geranium,Geronimo,Pink,Unrooted,Geranium Geronimo Pink Unrooted#,53908,56422,721,Bayheap Farm,600,Canada,9625,Marielle Plaisance,106,Jack Unger,5,25,22,0.8,0.772727273,9591.74
New Guinea Impatiens,Solomon,Big Red,Unrooted,New Guinea Impatiens Solomon Big Red Unrooted#,52459,167097,234,Green Farm,300,Great Lakes,7144,Nelda Heckel,103,Sandra Carlton,6,15,9,0.6,0.333333333,5012.91
Calibrachoa,Crazy,Deep Red,Unrooted,Calibrachoa Crazy Deep Red Unrooted#,50994,157827,780,Greeno Greenhouse,500,Southwest,2627,Kyoko Setton,105,Bill Barkely,4,25,19,0.84,0.789473684,23674.05
Petunia Vegetative,Peddler,Pink,Unrooted,Petunia Vegetative Peddler Pink Unrooted#,12871,38075,321,Open View Nursery,100,Northeast,5951,Abel Gillmore,101,Tim Morris,4,25,21,0.84,0.80952381,6472.75
Petunia Vegetative,Peddler,Red,Unrooted,Petunia Vegetative Peddler Red Unrooted#,27225,181221,657,Bob Smith Greenhouse,100,Northeast,7295,Jeffrey Broadfoot,101,Tim Morris,4,25,25,0.84,0.84,38056.41
Combo,Basket,Red Yellow Mix,Unrooted,Combo Basket Red Yellow Mix Unrooted#,75237,64928,529,Numero Greenhouse,400,Northwest,8404,Larita Garnett,104,Cathie Wentz,15,40,33,0.625,0.545454545,11687.04
Petunia Vegetative,Pretty,Pink,Unrooted,Petunia Vegetative Pretty Pink Unrooted#,90230,47787,326,Makinaw Nursery,300,Great Lakes,6259,Shon Watterson,103,Sandra Carlton,4,20,7,0.8,0.428571429,1433.61
Geranium,Giant,Frost,Unrooted,Geranium Giant Frost Unrooted#,43299,60654,868,Old Quarry Farm,600,Canada,9305,Dewey Vause,106,Jack Unger,5,30,18,0.833333333,0.722222222,7885.02
Geranium,Giant,Deep Red,Unrooted,Geranium Giant Deep Red Unrooted#,91126,25823,129,Hare Nursery,500,Southwest,8166,Shemika Lurie,105,Bill Barkely,5,30,28,0.833333333,0.821428571,5939.29
New Guinea Impatiens,Solomon,Yellow,Unrooted,New Guinea Impatiens Solomon Yellow Unrooted#,61037,117012,358,Rabbit Nursery,100,Northeast,4887,Anastacia Renaud,101,Tim Morris,6,15,15,0.6,0.6,10531.08
Geranium,Geronimo,Deep Red,Unrooted,Geranium Geronimo Deep Red Unrooted#,37449,39531,201,Bellview County Nursery,400,Northwest,4492,Bret Komar,104,Cathie Wentz,5,25,25,0.8,0.8,7906.2
